"","Race","Happy_level","Year"
"654","White","Pretty happy",1972
"655","White","Pretty happy",1972
"656","White","Very happy",1972
"657","White","Pretty happy",1972
"658","White","Pretty happy",1972
"659","White","Pretty happy",1972
"660","White","Not too happy",1972
"661","White","Not too happy",1972
"662","White","Pretty happy",1972
"663","White","Pretty happy",1972
"664","White","Pretty happy",1972
"665","White","Pretty happy",1972
"666","White","Not too happy",1972
"667","White","Pretty happy",1972
"668","White","Pretty happy",1972
"669","White","Pretty happy",1972
"670","White","Pretty happy",1972
"671","White","Pretty happy",1972
"672","White","Very happy",1972
"673","White","Pretty happy",1972
"674","White","Pretty happy",1972
"675","White","Not too happy",1972
"676","White","Very happy",1972
"677","White","Very happy",1972
"678","White","Pretty happy",1972
"679","White","Pretty happy",1972
"680","White","Pretty happy",1972
"681","White","Not too happy",1972
"682","White","Very happy",1972
"683","White","Pretty happy",1972
"684","White","Not too happy",1972
"685","White","Pretty happy",1972
"686","White","Very happy",1972
"687","White","Pretty happy",1972
"688","White","Pretty happy",1972
"689","White","Very happy",1972
"690","Black","Pretty happy",1972
"691","Black","Pretty happy",1972
"692","Black","Pretty happy",1972
"693","White","Pretty happy",1972
"694","Black","Very happy",1972
"695","Black","Not too happy",1972
"696","Black","Pretty happy",1972
"697","Black","Pretty happy",1972
"698","Black","Pretty happy",1972
"699","White","Pretty happy",1972
"700","White","Very happy",1972
"701","White","Very happy",1972
"702","White","Very happy",1972
"703","White","Very happy",1972
"704","White","Very happy",1972
"705","White","Very happy",1972
"706","White","Not too happy",1972
"707","White","Very happy",1972
"708","White","Not too happy",1972
"709","White","Very happy",1972
"710","White","Very happy",1972
"711","White","Very happy",1972
"712","White","Pretty happy",1972
"713","White","Very happy",1972
"714","White","Very happy",1972
"715","White","Pretty happy",1972
"716","White","Very happy",1972
"717","White","Not too happy",1972
"718","White","Pretty happy",1972
"719","White","Very happy",1972
"720","White","Not too happy",1972
"721","White","Pretty happy",1972
"722","White","Pretty happy",1972
"723","White","Pretty happy",1972
"724","White","Pretty happy",1972
"725","Black","Very happy",1972
"726","White","Pretty happy",1972
"727","White","Pretty happy",1972
"728","White","Pretty happy",1972
"729","White","Pretty happy",1972
"730","White","Pretty happy",1972
"731","White","Very happy",1972
"732","White","Pretty happy",1972
"733","White","Very happy",1972
"734","White","Pretty happy",1972
"735","White","Pretty happy",1972
"736","White","Very happy",1972
"737","White","Not too happy",1972
"738","White","Pretty happy",1972
"739","White","Not too happy",1972
"740","White","Not too happy",1972
"741","White","Pretty happy",1972
"742","White","Not too happy",1972
"743","White","Not too happy",1972
"744","White","Pretty happy",1972
"745","White","Pretty happy",1972
"746","White","Pretty happy",1972
"747","White","Very happy",1972
"748","White","Very happy",1972
"749","White","Pretty happy",1972
"750","Black","Not too happy",1972
"751","Black","Not too happy",1972
"752","Black","Pretty happy",1972
"753","Black","Very happy",1972
"754","Black","Pretty happy",1972
"755","Black","Pretty happy",1972
"756","Black","Pretty happy",1972
"757","Black","Pretty happy",1972
"758","White","Pretty happy",1972
"759","White","Pretty happy",1972
"760","White","Not too happy",1972
"761","White","Pretty happy",1972
"762","White","Pretty happy",1972
"763","White","Very happy",1972
"764","White","Very happy",1972
"765","White","Very happy",1972
"766","White","Pretty happy",1972
"767","White","Pretty happy",1972
"768","White","Very happy",1972
"769","White","Pretty happy",1972
"770","White","Pretty happy",1972
"771","White","Pretty happy",1972
"772","White","Pretty happy",1972
"773","White","Pretty happy",1972
"774","White","Pretty happy",1972
"775","White","Not too happy",1972
"776","White","Pretty happy",1972
"777","White","Very happy",1972
"778","White","Pretty happy",1972
"779","Black","Not too happy",1972
"780","Black","Not too happy",1972
"781","Black","Pretty happy",1972
"782","Black","Pretty happy",1972
"783","Black","Very happy",1972
"784","Black","Not too happy",1972
"785","Black","Not too happy",1972
"786","Black","Not too happy",1972
"787","White","Pretty happy",1972
"788","White","Pretty happy",1972
"789","White","Pretty happy",1972
"790","White","Pretty happy",1972
"791","White","Pretty happy",1972
"792","White","Not too happy",1972
"793","White","Pretty happy",1972
"794","White","Not too happy",1972
"795","White","Pretty happy",1972
"796","White","Pretty happy",1972
"797","White","Pretty happy",1972
"798","White","Pretty happy",1972
"799","White","Pretty happy",1972
"800","Black","Not too happy",1972
"801","Black","Pretty happy",1972
"802","Black","Pretty happy",1972
"803","Black","Pretty happy",1972
"804","Black","Pretty happy",1972
"805","Black","Very happy",1972
"806","Black","Pretty happy",1972
"807","White","Very happy",1972
"808","White","Very happy",1972
"809","White","Very happy",1972
"810","White","Pretty happy",1972
"811","White","Pretty happy",1972
"812","White","Pretty happy",1972
"813","White","Not too happy",1972
"814","White","Pretty happy",1972
"815","White","Pretty happy",1972
"816","White","Pretty happy",1972
"817","Black","Not too happy",1972
"818","White","Pretty happy",1972
"819","White","Pretty happy",1972
"820","White","Not too happy",1972
"821","White","Pretty happy",1972
"822","White","Very happy",1972
"823","White","Pretty happy",1972
"824","White","Very happy",1972
"825","White","Pretty happy",1972
"826","White","Very happy",1972
"827","White","Very happy",1972
"828","White","Very happy",1972
"829","Black","Very happy",1972
"830","Black","Very happy",1972
"831","Black","Pretty happy",1972
"832","Black","Very happy",1972
"833","Black","Very happy",1972
"834","Black","Very happy",1972
"835","White","Pretty happy",1972
"836","White","Pretty happy",1972
"837","White","Pretty happy",1972
"838","White","Very happy",1972
"839","White","Not too happy",1972
"840","White","Pretty happy",1972
"841","White","Pretty happy",1972
"842","White","Pretty happy",1972
"843","White","Pretty happy",1972
"844","White","Pretty happy",1972
"845","White","Pretty happy",1972
"846","White","Not too happy",1972
"847","White","Very happy",1972
"848","White","Pretty happy",1972
"849","White","Very happy",1972
"850","White","Pretty happy",1972
"851","White","Pretty happy",1972
"852","White","Very happy",1972
"853","White","Pretty happy",1972
"854","White","Not too happy",1972
"855","White","Pretty happy",1972
"856","White","Very happy",1972
"857","White","Very happy",1972
"858","White","Very happy",1972
"859","White","Pretty happy",1972
"860","White","Pretty happy",1972
"861","White","Pretty happy",1972
"862","White","Pretty happy",1972
"863","White","Pretty happy",1972
"864","White","Pretty happy",1972
"865","White","Not too happy",1972
"866","White","Very happy",1972
"867","White","Very happy",1972
"868","White","Pretty happy",1972
"869","White","Very happy",1972
"870","White","Pretty happy",1972
"871","White","Very happy",1972
"872","White","Pretty happy",1972
"873","White","Very happy",1972
"874","White","Pretty happy",1972
"875","White","Pretty happy",1972
"876","White","Very happy",1972
"877","White","Pretty happy",1972
"878","White","Pretty happy",1972
"879","White","Very happy",1972
"880","White","Pretty happy",1972
"881","White","Not too happy",1972
"882","White","Pretty happy",1972
"883","Black","Pretty happy",1972
"884","Black","Pretty happy",1972
"885","Black","Pretty happy",1972
"886","Black","Very happy",1972
"887","Black","Pretty happy",1972
"888","Black","Not too happy",1972
"889","Black","Not too happy",1972
"890","White","Pretty happy",1972
"891","White","Pretty happy",1972
"892","White","Very happy",1972
"893","White","Pretty happy",1972
"894","White","Not too happy",1972
"895","White","Very happy",1972
"896","White","Very happy",1972
"897","White","Very happy",1972
"898","White","Pretty happy",1972
"899","White","Pretty happy",1972
"900","White","Pretty happy",1972
"901","White","Pretty happy",1972
"902","White","Pretty happy",1972
"903","White","Pretty happy",1972
"904","White","Pretty happy",1972
"905","White","Very happy",1972
"906","White","Pretty happy",1972
"907","White","Not too happy",1972
"908","White","Not too happy",1972
"909","White","Pretty happy",1972
"910","White","Pretty happy",1972
"911","White","Very happy",1972
