"id","educ","majorcol","rincome","race","sex"
432,12,NA,1,1,2
433,11,NA,NA,3,2
434,6,NA,12,3,1
435,13,NA,12,1,1
436,16,12,12,1,2
437,13,NA,NA,1,1
438,14,NA,NA,1,1
439,11,NA,NA,2,2
440,16,33,9,1,1
441,16,NA,12,1,2
442,16,NA,NA,1,1
443,20,NA,NA,1,1
444,12,NA,12,1,1
445,12,NA,11,1,1
446,14,NA,NA,3,2
447,12,NA,NA,1,1
448,12,NA,12,1,1
449,16,20,NA,1,1
450,12,NA,7,1,2
451,14,NA,NA,1,2
452,12,NA,12,1,1
453,15,NA,NA,1,2
454,12,NA,2,1,1
455,17,18,NA,1,1
456,12,NA,NA,1,2
457,17,55,NA,3,2
458,16,NA,12,1,2
459,18,9,NA,1,2
460,12,NA,NA,1,1
461,20,NA,NA,1,2
462,18,NA,NA,1,2
463,20,NA,NA,1,2
464,16,8,NA,1,1
465,19,NA,12,1,1
466,16,NA,12,1,1
467,18,1,12,1,2
468,20,NA,12,1,2
469,16,60,12,1,2
470,16,11,NA,1,1
471,18,NA,12,1,2
472,16,NA,12,1,1
473,18,70,12,1,1
474,13,NA,12,1,1
475,16,NA,12,1,1
476,12,NA,NA,2,2
477,9,NA,NA,1,2
478,16,8,12,1,1
479,12,NA,NA,1,2
480,19,NA,7,3,2
481,14,NA,NA,1,1
482,16,NA,12,1,1
483,16,NA,8,1,2
484,12,NA,NA,3,2
485,14,36,12,1,2
486,18,NA,12,1,2
487,14,NA,NA,1,1
488,20,9,12,1,1
489,12,NA,12,1,1
490,14,NA,NA,1,2
491,12,NA,12,3,1
492,10,NA,NA,1,2
493,2,NA,3,3,1
494,20,NA,10,3,1
495,12,NA,NA,3,2
496,12,NA,NA,3,1
497,13,NA,12,1,1
498,12,NA,12,1,2
499,12,NA,10,1,2
500,12,NA,8,1,2
501,13,NA,12,1,2
502,15,NA,12,1,1
503,14,NA,7,1,2
504,12,NA,9,2,2
505,12,NA,11,1,1
506,12,NA,NA,1,1
507,16,NA,12,1,2
508,15,NA,NA,1,2
509,16,14,12,1,2
510,16,NA,12,1,2
511,12,NA,12,1,2
512,18,57,NA,1,2
513,14,NA,12,1,2
514,12,NA,12,1,1
515,13,NA,12,1,1
516,12,NA,12,1,1
517,19,9,NA,1,2
518,15,NA,4,1,1
519,17,14,NA,1,2
520,10,NA,NA,1,2
521,13,NA,12,1,1
522,20,16,12,1,2
523,18,43,NA,1,1
524,16,29,NA,3,2
525,17,8,NA,1,1
526,16,NA,NA,1,2
527,14,NA,9,1,2
528,18,NA,NA,1,1
529,16,42,4,3,2
530,16,12,12,1,2
531,14,NA,NA,1,2
532,20,NA,NA,1,1
533,16,25,NA,1,2
534,17,NA,NA,1,2
535,16,NA,NA,3,1
536,17,31,NA,1,2
537,6,NA,12,2,1
538,12,NA,NA,1,2
539,12,NA,NA,1,2
540,11,NA,12,3,1
541,14,NA,NA,2,1
542,18,NA,NA,1,2
543,13,NA,NA,2,1
544,20,NA,12,1,2
545,20,NA,NA,2,2
546,16,42,NA,1,2
547,13,NA,12,2,2
548,12,NA,NA,1,1
549,6,NA,NA,1,2
550,12,NA,NA,3,2
551,12,NA,12,3,2
552,7,NA,NA,1,1
553,12,NA,NA,2,1
554,14,NA,4,2,1
555,16,NA,12,3,1
556,10,NA,12,3,1
557,12,NA,NA,3,2
558,15,NA,NA,1,2
559,19,NA,12,1,2
560,8,NA,NA,1,2
561,6,NA,NA,3,2
562,20,NA,NA,1,2
563,12,NA,NA,3,2
564,14,NA,12,1,2
565,17,NA,NA,1,2
566,12,NA,NA,1,2
567,15,NA,12,2,2
568,14,NA,11,1,1
569,13,NA,12,1,1
570,9,NA,9,1,2
571,16,NA,10,1,1
572,16,42,12,1,1
573,16,9,12,2,2
574,12,NA,6,2,2
575,14,NA,NA,1,1
576,16,NA,NA,1,2
577,18,NA,NA,3,2
578,12,NA,NA,1,2
579,12,NA,NA,2,2
580,16,14,12,1,1
581,12,NA,12,1,1
582,8,NA,9,1,1
583,12,NA,12,2,2
584,14,NA,NA,2,1
585,12,NA,NA,1,2
586,7,NA,5,1,2
587,12,NA,NA,2,1
588,14,NA,12,2,1
589,12,NA,NA,1,1
590,17,51,12,1,1
591,15,47,NA,1,1
592,14,NA,10,1,2
593,20,55,NA,1,2
594,13,NA,12,1,1
595,13,NA,NA,1,2
596,20,NA,NA,1,2
597,14,NA,NA,1,2
598,12,NA,NA,1,2
599,13,NA,12,1,2
600,20,NA,12,1,1
601,14,NA,NA,1,2
602,12,NA,2,1,2
603,12,NA,12,1,1
604,12,NA,NA,1,2
605,13,NA,NA,1,1
606,13,NA,5,1,2
607,13,NA,11,2,2
608,14,NA,NA,1,1
609,20,82,12,2,2
610,16,NA,12,2,1
611,12,NA,NA,1,2
612,11,NA,9,2,2
613,12,NA,6,2,2
614,12,NA,12,1,1
615,18,NA,NA,1,2
616,14,36,NA,1,2
617,12,NA,NA,1,2
618,20,8,12,2,2
619,14,NA,9,1,2
620,16,8,12,1,2
621,12,NA,NA,3,1
622,12,NA,NA,2,2
623,10,NA,NA,1,2
624,12,NA,11,2,2
625,16,4,12,1,2
626,16,NA,NA,1,2
627,16,9,7,1,2
628,16,NA,NA,1,2
629,20,19,NA,1,2
630,16,NA,NA,1,1
631,11,NA,NA,3,1
632,16,NA,12,1,2
633,16,9,NA,1,1
634,14,9,12,3,2
635,14,55,NA,1,2
636,16,29,12,1,1
637,12,NA,12,1,2
638,17,12,12,1,2
639,16,NA,9,1,1
640,12,NA,12,1,2
641,18,NA,10,1,2
642,16,55,12,1,2
643,16,23,12,1,1
644,16,14,NA,3,2
645,9,NA,NA,3,2
646,12,NA,NA,1,2
647,19,11,12,3,2
648,19,34,NA,3,1
649,15,NA,NA,1,2
650,16,NA,12,3,2
651,16,NA,NA,2,2
652,19,28,7,1,1
653,13,NA,NA,1,2
654,20,34,12,1,2
655,11,NA,NA,2,2
656,13,NA,NA,3,2
657,12,NA,NA,2,1
658,12,NA,NA,2,1
659,15,NA,10,2,1
660,16,9,12,2,2
661,12,NA,NA,2,2
662,13,NA,NA,1,1
663,19,16,12,1,2
664,16,NA,NA,1,2
665,12,NA,12,1,2
666,13,NA,12,1,1
667,12,NA,NA,1,2
668,12,NA,NA,1,2
669,12,NA,12,2,1
670,16,NA,10,1,2
671,12,NA,NA,2,2
672,12,NA,12,1,2
673,14,NA,10,1,2
674,12,NA,9,3,2
675,11,NA,2,3,2
676,18,NA,12,3,1
677,16,NA,11,1,1
678,18,14,5,3,1
679,15,NA,12,1,1
680,16,NA,12,2,1
681,14,NA,12,2,1
682,12,NA,NA,1,2
683,3,NA,NA,1,2
684,10,NA,NA,2,1
685,12,NA,12,2,1
686,13,NA,11,2,2
687,12,NA,NA,2,2
688,10,NA,NA,3,1
689,14,NA,11,2,2
690,12,NA,12,2,1
691,12,NA,NA,1,2
692,9,NA,NA,2,1
693,11,NA,11,2,1
694,9,NA,12,1,1
695,12,NA,6,3,1
696,13,NA,NA,2,1
697,7,NA,12,1,1
698,12,NA,10,2,2
699,5,NA,4,1,2
700,13,NA,12,3,1
701,11,NA,NA,1,1
702,15,51,11,1,1
703,16,14,NA,3,2
704,12,NA,NA,1,2
705,16,16,12,2,2
706,19,NA,6,2,2
707,12,NA,NA,1,2
708,9,NA,12,1,1
709,12,NA,12,1,1
710,6,NA,10,1,2
711,12,NA,5,2,1
712,18,NA,2,1,2
713,16,50,11,3,2
714,0,NA,11,3,1
715,12,NA,NA,1,2
716,6,NA,12,1,2
717,12,NA,NA,3,2
718,12,NA,NA,1,2
719,14,NA,12,3,2
720,12,NA,NA,1,2
721,17,12,NA,1,1
722,14,NA,12,1,1
723,12,NA,10,1,2
724,12,NA,5,1,2
725,12,NA,NA,2,1
726,14,NA,12,1,1
727,6,NA,2,1,2
728,16,NA,12,1,1
729,16,1,12,2,2
730,14,NA,NA,3,1
731,13,NA,1,2,2
732,14,NA,11,1,2
