"","Employee_status","Happy_level","Year","Happy"
"541","Someone else",2,1972,"Pretty happy"
"542","Someone else",1,1972,"Very happy"
"543","Someone else",1,1972,"Very happy"
"544","Someone else",2,1972,"Pretty happy"
"545","Self-employed",1,1972,"Very happy"
"546","Someone else",2,1972,"Pretty happy"
"547","Someone else",1,1972,"Very happy"
"548","Someone else",2,1972,"Pretty happy"
"549","Someone else",2,1972,"Pretty happy"
"550","Someone else",2,1972,"Pretty happy"
"551","Someone else",3,1972,"Not too happy"
"552","Someone else",2,1972,"Pretty happy"
"553","Someone else",1,1972,"Very happy"
"554","Someone else",3,1972,"Not too happy"
"555","Someone else",1,1972,"Very happy"
"556","Someone else",2,1972,"Pretty happy"
"557","Someone else",2,1972,"Pretty happy"
"558","Someone else",3,1972,"Not too happy"
"559","Self-employed",2,1972,"Pretty happy"
"560","Someone else",3,1972,"Not too happy"
"561","Self-employed",2,1972,"Pretty happy"
"562","Someone else",3,1972,"Not too happy"
"563","Someone else",2,1972,"Pretty happy"
"564","Someone else",2,1972,"Pretty happy"
"565","Someone else",2,1972,"Pretty happy"
"566","Someone else",2,1972,"Pretty happy"
"567","Self-employed",2,1972,"Pretty happy"
"568","Someone else",2,1972,"Pretty happy"
"569","Someone else",1,1972,"Very happy"
"570","Someone else",2,1972,"Pretty happy"
"571","Someone else",2,1972,"Pretty happy"
"572","Self-employed",2,1972,"Pretty happy"
"573","Someone else",2,1972,"Pretty happy"
"574","Someone else",1,1972,"Very happy"
"575","Someone else",2,1972,"Pretty happy"
"576","Someone else",3,1972,"Not too happy"
"577","Someone else",2,1972,"Pretty happy"
"578","Someone else",1,1972,"Very happy"
"579","Self-employed",2,1972,"Pretty happy"
"580","Someone else",2,1972,"Pretty happy"
"581","Someone else",2,1972,"Pretty happy"
"582","Someone else",2,1972,"Pretty happy"
"583","Someone else",2,1972,"Pretty happy"
"584","Someone else",3,1972,"Not too happy"
"585","Someone else",1,1972,"Very happy"
"586","Self-employed",1,1972,"Very happy"
"587","Someone else",3,1972,"Not too happy"
"588","Self-employed",3,1972,"Not too happy"
"589","Self-employed",3,1972,"Not too happy"
"590","Someone else",2,1972,"Pretty happy"
"591","Someone else",2,1972,"Pretty happy"
"592","Someone else",2,1972,"Pretty happy"
"593","Someone else",2,1972,"Pretty happy"
"594","Someone else",1,1972,"Very happy"
"595","Someone else",3,1972,"Not too happy"
"596","Someone else",2,1972,"Pretty happy"
"597","Someone else",3,1972,"Not too happy"
"598","Someone else",1,1972,"Very happy"
"599","Self-employed",1,1972,"Very happy"
"600","Someone else",3,1972,"Not too happy"
"601","Self-employed",1,1972,"Very happy"
"602","Someone else",3,1972,"Not too happy"
"603","Someone else",2,1972,"Pretty happy"
"604","Someone else",1,1972,"Very happy"
"605","Someone else",1,1972,"Very happy"
"606","Someone else",2,1972,"Pretty happy"
"607","Someone else",2,1972,"Pretty happy"
"608","Someone else",3,1972,"Not too happy"
"609","Someone else",2,1972,"Pretty happy"
"610","Self-employed",3,1972,"Not too happy"
"611","Someone else",3,1972,"Not too happy"
"612","Someone else",2,1972,"Pretty happy"
"613","Someone else",2,1972,"Pretty happy"
"614","Someone else",2,1972,"Pretty happy"
"615","Someone else",3,1972,"Not too happy"
"616","Self-employed",1,1972,"Very happy"
"617","Someone else",2,1972,"Pretty happy"
"618","Someone else",2,1972,"Pretty happy"
"619","Self-employed",2,1972,"Pretty happy"
"620","Someone else",2,1972,"Pretty happy"
"621","Someone else",2,1972,"Pretty happy"
"622","Someone else",1,1972,"Very happy"
"623","Someone else",2,1972,"Pretty happy"
"624","Someone else",2,1972,"Pretty happy"
"625","Someone else",2,1972,"Pretty happy"
"626","Someone else",1,1972,"Very happy"
"627","Someone else",1,1972,"Very happy"
"628","Someone else",2,1972,"Pretty happy"
"629","Someone else",1,1972,"Very happy"
"630","Someone else",1,1972,"Very happy"
"631","Someone else",1,1972,"Very happy"
"632","Someone else",2,1972,"Pretty happy"
"633","Self-employed",1,1972,"Very happy"
"634","Someone else",2,1972,"Pretty happy"
"635","Someone else",1,1972,"Very happy"
"636","Someone else",2,1972,"Pretty happy"
"637","Someone else",2,1972,"Pretty happy"
"638","Someone else",2,1972,"Pretty happy"
"639","Someone else",2,1972,"Pretty happy"
"640","Someone else",2,1972,"Pretty happy"
"641","Someone else",2,1972,"Pretty happy"
"642","Someone else",2,1972,"Pretty happy"
"643","Someone else",2,1972,"Pretty happy"
"644","Someone else",1,1972,"Very happy"
"645","Someone else",1,1972,"Very happy"
"646","Someone else",3,1972,"Not too happy"
"647","Someone else",1,1972,"Very happy"
"648","Someone else",1,1972,"Very happy"
"649","Someone else",1,1972,"Very happy"
"650","Someone else",1,1972,"Very happy"
"651","Someone else",2,1972,"Pretty happy"
"652","Someone else",3,1972,"Not too happy"
