"id","edu_year","employee_status","industry_sector","income","race","sex","science_course"
1732,10,2,2,4,2,2,2
1733,12,2,2,1,2,1,2
1735,20,2,1,12,1,1,1
1741,14,2,2,12,3,1,1
1744,18,2,2,12,2,2,2
1752,12,2,2,8,3,1,2
1753,14,2,2,12,1,1,1
1758,18,1,2,3,1,2,1
1764,12,2,2,4,1,2,2
1767,12,2,2,2,1,1,2
1768,19,2,2,10,1,2,1
1771,16,2,2,12,1,1,1
1780,14,2,2,5,1,2,2
1782,16,2,2,12,1,2,1
1787,16,2,1,12,1,2,2
1789,13,2,2,3,1,1,2
1790,12,2,2,12,1,1,2
1791,14,2,1,12,1,1,1
1793,14,2,2,9,1,2,1
1797,15,2,2,12,1,2,1
1802,17,2,2,9,1,2,2
1818,16,1,2,11,1,2,1
1831,14,2,2,11,1,1,1
1838,20,1,2,12,1,1,1
1842,12,2,2,3,1,1,2
1843,14,2,2,12,1,1,1
1844,14,2,2,5,1,2,2
1853,12,2,2,10,1,2,2
1857,12,2,2,3,1,1,2
1867,12,2,2,12,1,1,2
1868,15,2,2,11,1,1,1
1877,12,2,2,12,1,2,2
1879,12,2,2,9,1,2,2
1890,13,2,2,12,1,1,2
1892,14,2,2,12,1,2,2
1893,14,2,2,12,1,1,1
1894,12,1,2,12,1,2,2
1896,15,2,2,12,1,2,1
1899,14,2,2,6,1,1,1
1902,14,2,1,12,1,1,2
1908,12,2,2,12,2,1,2
1910,12,2,2,12,1,2,2
1913,12,2,2,11,3,1,2
1914,19,2,2,12,1,2,1
1917,9,2,2,5,1,2,2
1918,17,2,2,9,1,2,1
1919,12,2,2,12,1,2,2
1923,12,2,2,12,1,2,2
1924,12,2,2,12,1,1,2
1927,16,2,2,12,2,1,2
